"MaintenanceRank","Name","Destination","SourceType","FragilityLevel","OverallStatus","Borderline","Url","UrlReachable","UrlStatusCode","UrlFinalUri","ChecksumMode","ChecksumUrl","ChecksumReachable","ChecksumStatusCode","ChecksumFinalUri","DriftFlags","Notes","FallbackRule"
"1","BlueScreenView 1.55 (x64 zip)","Tools\Portable\System\bluescreenview-x64.zip","official-version-path","high","ok-limited","True","https://www.nirsoft.net/utils/bluescreenview-x64.zip","True","200","","pinned-only","","","","","","no remote checksum source configured; revalidation is limited to the pinned manifest hash","Confirm the replacement ZIP on the official NirSoft site and manually recompute the SHA256 before patching. Demote if the direct vendor file becomes page-only or ambiguous."
"2","Rufus 4.13 Portable (x64)","Tools\Portable\USB\rufus-4.13p.exe","github-release","medium","ok","False","https://github.com/pbatard/rufus/releases/download/v4.13/rufus-4.13p.exe","True","200","","pinned+remote","https://api.github.com/repos/pbatard/rufus/releases/assets/357534705","True","200","","","","Use the official Rufus site to confirm the matching GitHub release asset and refresh the asset digest. Demote if the official site stops pointing to a direct official asset."
"3","Ventoy 1.1.11 (Windows package)","Tools\Portable\USB\ventoy-1.1.11-windows.zip","sourceforge","high","ok","False","https://sourceforge.net/projects/ventoy/files/v1.1.11/ventoy-1.1.11-windows.zip/download","True","200","","pinned+remote","https://sourceforge.net/projects/ventoy/files/v1.1.11/sha256.txt/download","True","200","","","","Use ventoy.net to confirm the same versioned SourceForge asset and keep the official checksum file. Demote if the path stops being a direct official artifact or checksum coverage disappears."
"4","SystemRescue 13.00 (amd64)","ISO\Linux\systemrescue-13.00-amd64.iso","sourceforge","high","ok","False","https://sourceforge.net/projects/systemrescuecd/files/sysresccd-x86/13.00/systemrescue-13.00-amd64.iso/download","True","200","","remote-only","https://www.system-rescue.org/releases/13.00/systemrescue-13.00-amd64.iso.sha256","True","200","","","","Re-derive the same versioned ISO from the official SystemRescue download page and keep the official checksum source. Demote if only mirror-style paths or no official checksum remain."
"5","GParted Live 1.8.1-3 (amd64)","ISO\Tools\gparted-live-1.8.1-3-amd64.iso","sourceforge","high","ok-limited","False","https://sourceforge.net/projects/gparted/files/gparted-live-stable/1.8.1-3/gparted-live-1.8.1-3-amd64.iso/download","True","200","","pinned-only","","","","","","no remote checksum source configured; revalidation is limited to the pinned manifest hash","Re-derive the same versioned ISO from gparted.org and refresh the pinned checksum from an official project checksum or source. Demote if only page flows or unverified mirrors remain."
"6","Clonezilla Live 3.3.1-35 (amd64)","ISO\Tools\clonezilla-live-3.3.1-35-amd64.iso","sourceforge","high","ok-limited","False","https://sourceforge.net/projects/clonezilla/files/clonezilla_live_stable/3.3.1-35/clonezilla-live-3.3.1-35-amd64.iso/download","True","200","","pinned-only","","","","","","no remote checksum source configured; revalidation is limited to the pinned manifest hash","Re-derive the same versioned ISO from the official Clonezilla download page and refresh the pinned checksum from an official project checksum or source. Demote if only mirrors or page-only flows remain."
"7","Linux Mint 22.3 Cinnamon (64-bit)","ISO\Linux\linuxmint-22.3-cinnamon-64bit.iso","official-mirror","medium","ok-limited","True","https://pub.linuxmint.io/stable/22.3/linuxmint-22.3-cinnamon-64bit.iso","True","200","","pinned-only","","","","","","no remote checksum source configured; revalidation is limited to the pinned manifest hash","Move to a Linux Mint-controlled mirror or release page for the same version and refresh the checksum from the official mirror checksum file. Demote if only third-party mirrors remain."
"8","CrystalDiskInfo 9.8.0 (standard zip)","Tools\Portable\Disk\CrystalDiskInfo9_8_0.zip","sourceforge","high","ok-limited","True","https://sourceforge.net/projects/crystaldiskinfo/files/9.8.0/CrystalDiskInfo9_8_0.zip/download","True","200","","pinned-only","","","","","","no remote checksum source configured; revalidation is limited to the pinned manifest hash","Re-derive the exact versioned asset from crystalmark.info and manually recompute the SHA256 from the official file before patching. Demote if the path stops being a direct official artifact."
"9","DriverStoreExplorer 1.0.26 (zip)","Tools\Portable\System\DriverStoreExplorer-v1.0.26.zip","github-release","medium","ok","False","https://github.com/lostindark/DriverStoreExplorer/releases/download/v1.0.26/DriverStoreExplorer-v1.0.26.zip","True","200","","pinned+remote","https://api.github.com/repos/lostindark/DriverStoreExplorer/releases/assets/385341074","True","200","","","","Use the matching official GitHub release ZIP and asset digest for the same version. Demote if the release asset disappears or the digest endpoint stops agreeing."
"10","Angry IP Scanner 3.9.3 (Windows setup)","Tools\Portable\Network\ipscan-3.9.3-setup.exe","github-release","medium","ok","False","https://github.com/angryip/ipscan/releases/download/3.9.3/ipscan-3.9.3-setup.exe","True","200","","pinned+remote","https://api.github.com/repos/angryip/ipscan/releases/assets/314847493","True","200","","","","Use the matching official GitHub release asset and asset digest for the same version. Demote if the release asset disappears or the digest endpoint stops agreeing."
"11","RustDesk 1.4.6 (x86_64 exe)","Tools\Portable\Remote\rustdesk-1.4.6-x86_64.exe","github-release","medium","ok","False","https://github.com/rustdesk/rustdesk/releases/download/1.4.6/rustdesk-1.4.6-x86_64.exe","True","200","","pinned+remote","https://api.github.com/repos/rustdesk/rustdesk/releases/assets/367293485","True","200","","","","Use the matching official GitHub release asset and asset digest, then refresh the pinned checksum. Demote if the release asset or digest becomes inconsistent."
"12","balenaEtcher 2.1.4 Setup (x64)","Tools\Portable\USB\balenaEtcher-2.1.4.Setup.exe","github-release","medium","ok","False","https://github.com/balena-io/etcher/releases/download/v2.1.4/balenaEtcher-2.1.4.Setup.exe","True","200","","pinned+remote","https://api.github.com/repos/balena-io/etcher/releases/assets/277395239","True","200","","","","Use the matching official GitHub release asset and asset digest for the same version. Demote if the release asset disappears or the digest endpoint stops agreeing."
"13","Rescuezilla 2.6.1 (64-bit oracular)","ISO\Tools\rescuezilla-2.6.1-64bit.oracular.iso","github-release","medium","ok","False","https://github.com/rescuezilla/rescuezilla/releases/download/2.6.1/rescuezilla-2.6.1-64bit.oracular.iso","True","200","","pinned+remote","https://github.com/rescuezilla/rescuezilla/releases/download/2.6.1/SHA256SUM","True","200","","","","Use rescuezilla.com or the matching official GitHub release for the same version and keep the SHA256SUM coverage. Demote if the release asset or checksum file stops matching."
"14","MemTest86+ 8.00 (x86_64 ISO archive)","ISO\Tools\mt86plus_8.00_x86_64.iso.zip","official-version-path","low","ok","False","https://www.memtest.org/download/v8.00/mt86plus_8.00_x86_64.iso.zip","True","200","","pinned+remote","https://www.memtest.org/download/v8.00/sha256sum.txt","True","200","","","","Use the memtest.org versioned download directory and official sha256sum.txt for the same release. Demote if the workflow becomes page-only or checksum coverage disappears."
"15","Kali Linux 2026.1 Installer (amd64)","ISO\Linux\kali-linux-2026.1-installer-amd64.iso","official-mirror","low","ok","False","https://cdimage.kali.org/kali-2026.1/kali-linux-2026.1-installer-amd64.iso","True","200","","pinned+remote","https://cdimage.kali.org/kali-2026.1/SHA256SUMS","True","200","","","","Use the official Kali image index for the same release and refresh the checksum from official sums before patching. Demote if only alias paths or indirect mirrors remain."
"16","Ubuntu 24.04.4 LTS Desktop (amd64)","ISO\Linux\ubuntu-24.04.4-desktop-amd64.iso","official-version-path","low","ok-limited","False","https://releases.ubuntu.com/24.04.4/ubuntu-24.04.4-desktop-amd64.iso","True","200","","pinned-only","","","","","","no remote checksum source configured; revalidation is limited to the pinned manifest hash","Use the official Ubuntu release index for the same version and refresh the checksum from Canonical-published sums before patching. Demote if the versioned artifact is retired or no official sums remain."
